0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2.0565892868705745e-10,2.0565892868705616e-10,1.234717144653187e-09,1.2347171446532031e-09,1.2347171446532997e-09,1.2347171446531858e-09,1.23471714463932e-09,1.2347171443953482e-09,1.2347171414503708e-09,1.234717113285323e-09,1.2347168910005763e-09,1.2347154320264603e-09,1.2347075972124156e-09,1.234675180812427e-09,1.2345939425067979e-09,1.2347171446531858e-09,1.2377415301903033e-09,1.2601022401615937e-09,1.3797067779613552e-09,1.93297850144427e-09,4.517369046840423e-09,1.7540704332911076e-08,7.776942550967868e-08,2.667709053452268e-07,4.4910725440668844e-07,1.2347171446530867e-09,9.672826684683883e-06,0.00013862340310605715,0.0008750343380475182,0.00342529945936985,0.009134127854388314,0.0169768394235615,0.021507528748132436,0.01693573224982005,0.005948409665632886,1.2347171446607813e-09,0.00595925497600632,0.016954028537012288,0.021528146581807343,0.016995157896207178,0.009147565925680686,0.0034335304825101184,0.0008791970149282186,0.00014028321897817687,1.0114916590249238e-05,1.2347171572817834e-09,3.599046950405185e-07,1.9943458111990538e-07,4.4352561700276796e-08,5.039771691826801e-09,8.414133458018549e-10,5.039771691826915e-09,4.435256170027762e-08,1.9943458111990712e-07,3.5990469504051255e-07,1.2347171572820407e-09,1.01149165902496e-05,0.0001402832189781776,0.0008791970149282324,0.0034335304825101514,0.009147565925680686,0.016995157896207223,0.021528146581807316,0.01695402853701212,0.005959254976006264,1.2347171446473655e-09,0.005948409665633,0.016935732249820146,0.021507528748132443,0.016976839423561492,0.009134127854388314,0.0034252994593698158,0.0008750343380475132,0.0001386234031060542,9.672826684683714e-06,1.2347171446533382e-09,4.491072544066935e-07,2.667709053452256e-07,7.776942550967766e-08,1.7540704332910987e-08,4.517369046840439e-09,1.93297850144428e-09,1.3797067779613388e-09,1.2601022401615822e-09,1.2377415301903118e-09,1.2347171446531947e-09,1.2345939425068064e-09,1.234675180812414e-09,1.2347075972124038e-09,1.2347154320264702e-09,1.2347168910005852e-09,1.2347171132853312e-09,1.2347171414503571e-09,1.234717144395336e-09,1.2347171446393295e-09,1.2347171446531947e-09,1.2347171446532865e-09,1.2347171446531901e-09,1.234717144653197e-09,1.2347171446531947e-09
1.4480069160743797e-17,1.448006916074373e-17,1.2063889804745364e-17,1.2063889804744467e-17,1.2063889804739095e-17,1.2063889804745456e-17,1.2063889805516517e-17,1.2063889819084314e-17,1.206388998286097e-17,1.2063891549180636e-17,1.2063903910923257e-17,1.2063985047833052e-17,1.2064420764548266e-17,1.2066223618123355e-17,1.207074231706259e-17,1.2063889804745456e-17,1.189628337081764e-17,1.0693469392310055e-17,5.348007013237817e-18,4.480503651520624e-18,5.201331544713695e-16,1.614592082986173e-14,3.711687910695799e-13,4.504219247139416e-12,1.2830969729148606e-11,1.2063889804751079e-17,5.994450775105077e-09,1.231558621437598e-06,4.907281448464827e-05,0.0007519502364663484,0.005347200210632215,0.018471664321877346,0.029646497216381233,0.01838231922340584,0.002267743490482723,1.2063889804323168e-17,0.002276020260539483,0.018422058857189016,0.029703364705336653,0.018511548691296113,0.005362945321501346,0.000755568465696216,4.954082021956172e-05,1.2612278308556564e-06,6.555015865633362e-09,1.206388910244157e-17,8.224910416110368e-12,2.5066616543574694e-12,1.1676760785229653e-13,7.283843659480781e-16,4.385036548400845e-17,7.283843659481272e-16,1.1676760785230105e-13,2.5066616543575142e-12,8.224910416110096e-12,1.2063889102427669e-17,6.555015865633833e-09,1.2612278308556695e-06,4.954082021956329e-05,0.0007555684656962305,0.005362945321501346,0.018511548691296217,0.029703364705336577,0.018422058857188662,0.002276020260539441,1.2063889805069442e-17,0.002267743490482811,0.01838231922340605,0.029646497216381247,0.018471664321877336,0.005347200210632215,0.0007519502364663334,4.90728144846477e-05,1.2315586214375454e-06,5.994450775104867e-09,1.2063889804737286e-17,1.2830969729148898e-11,4.504219247139374e-12,3.7116879106957013e-13,1.6145920829861546e-14,5.201331544713731e-16,4.480503651520772e-18,5.348007013238085e-18,1.0693469392310279e-17,1.189628337081748e-17,1.206388980474527e-17,1.2070742317062434e-17,1.2066223618123573e-17,1.2064420764548506e-17,1.2063985047832858e-17,1.2063903910923069e-17,1.2063891549180488e-17,1.2063889982861222e-17,1.2063889819084536e-17,1.2063889805516343e-17,1.206388980474527e-17,1.2063889804739347e-17,1.2063889804744703e-17,1.2063889804745147e-17,1.206388980474527e-17
2.179771576167851e-17,2.1797715761678357e-17,1.3086722902057061e-16,1.3086722902057061e-16,1.3086722902057061e-16,1.3086722902057074e-16,1.3086722902057056e-16,1.3086722902057051e-16,1.3086722902057069e-16,1.308672290205704e-16,1.308672290205685e-16,1.3086722902055563e-16,1.3086722902048714e-16,1.308672290202046e-16,1.308672290194958e-16,1.3086722902057074e-16,1.308672290468616e-16,1.3086722923553607e-16,1.3086723007403124e-16,1.3086723021010876e-16,1.308671493242943e-16,1.3086469825874263e-16,1.3080901545440824e-16,1.3016164788393715e-16,1.2886228978597954e-16,1.30867229020571e-16,8.796046892192577e-16,7.110039638057325e-11,1.1318577474172001e-07,2.6577597588073413e-05,0.0013439777162800978,0.016038044914146603,0.04131294698656556,0.0158832721358887,0.0002417278377222618,1.30867229020571e-16,0.00024349556702825815,0.01595202056087926,0.041471590817548906,0.016107378997505466,0.0013519041970129725,2.683398533944797e-05,1.1535504115729958e-07,7.457214849515141e-11,1.1223407801133134e-15,1.3086722902057051e-16,1.2958024246940046e-16,1.304743286266214e-16,1.3084891526177062e-16,1.3086711665779821e-16,1.30867224034511e-16,1.3086711665779821e-16,1.3084891526177062e-16,1.304743286266214e-16,1.2958024246940056e-16,1.3086722902057167e-16,1.12234078011353e-15,7.457214849515298e-11,1.1535504115730689e-07,2.6833985339449002e-05,0.0013519041970129725,0.016107378997505646,0.041471590817548684,0.015952020560878646,0.0002434955670282491,1.3086722902057155e-16,0.00024172783772228055,0.015883272135889068,0.04131294698656561,0.01603804491414658,0.0013439777162800978,2.6577597588072352e-05,1.1318577474171732e-07,7.110039638056716e-11,8.796046892191736e-16,1.3086722902057155e-16,1.2886228978597954e-16,1.3016164788393715e-16,1.3080901545440824e-16,1.3086469825874238e-16,1.3086714932429522e-16,1.3086723021010965e-16,1.3086723007402984e-16,1.3086722923553491e-16,1.308672290468625e-16,1.3086722902057155e-16,1.308672290194967e-16,1.3086722902020315e-16,1.3086722902048598e-16,1.3086722902055664e-16,1.3086722902056936e-16,1.3086722902057125e-16,1.3086722902056923e-16,1.3086722902056923e-16,1.3086722902057155e-16,1.3086722902057155e-16,1.3086722902056928e-16,1.3086722902056928e-16,1.3086722902057155e-16,1.3086722902057155e-16
1.5618180350110398e-17,1.561818035011029e-17,9.376706073155861e-17,9.376706073155861e-17,9.376706073155861e-17,9.37670607315587e-17,9.376706073155857e-17,9.376706073155857e-17,9.37670607315587e-17,9.37670607315587e-17,9.37670607315587e-17,9.376706073155857e-17,9.376706073155846e-17,9.37670607315587e-17,9.37670607315587e-17,9.37670607315587e-17,9.376706073155868e-17,9.376706073155846e-17,9.376706073155853e-17,9.376706073155853e-17,9.376706073156763e-17,9.37670607318431e-17,9.376706073810116e-17,9.376706081086002e-17,9.376706095689718e-17,9.376706073155889e-17,9.376697657963205e-17,8.594622997933235e-17,4.188346631484484e-13,2.3786788781800014e-08,6.0833382305322116e-05,0.008662867392535693,0.05748191424292429,0.008496474703289906,1.9679145872544338e-06,9.376706073155889e-17,1.996802317629769e-06,0.008570185390597599,0.05792422887440843,0.008737930198775473,6.155306265012253e-05,2.424796244024623e-08,4.352877448543731e-13,8.557306627494721e-17,9.376694929810135e-17,9.376706073155846e-17,9.376706087620524e-17,9.376706077571725e-17,9.37670607336168e-17,9.376706073157111e-17,9.376706073155987e-17,9.376706073157111e-17,9.37670607336168e-17,9.376706077571725e-17,9.376706087620524e-17,9.376706073155929e-17,9.376694929810135e-17,8.557306627494624e-17,4.3528774485442906e-13,2.4247962440248102e-08,6.155306265012253e-05,0.008737930198775667,0.0579242288744078,0.008570185390596938,1.9968023176296203e-06,9.376706073155929e-17,1.96791458725474e-06,0.008496474703290294,0.05748191424292441,0.008662867392535665,6.0833382305322116e-05,2.378678878179812e-08,4.188346631484285e-13,8.5946229979333e-17,9.376697657963166e-17,9.376706073155929e-17,9.376706095689718e-17,9.376706081086002e-17,9.376706073810116e-17,9.376706073184293e-17,9.376706073156824e-17,9.376706073155913e-17,9.376706073155751e-17,9.376706073155761e-17,9.376706073155927e-17,9.376706073155929e-17,9.376706073155929e-17,9.376706073155761e-17,9.376706073155761e-17,9.376706073155929e-17,9.376706073155929e-17,9.376706073155929e-17,9.376706073155761e-17,9.376706073155761e-17,9.376706073155929e-17,9.376706073155929e-17,9.376706073155761e-17,9.376706073155761e-17,9.376706073155929e-17,9.376706073155929e-17
9.999458030559569e-18,9.9994580305595e-18,6.003387027772731e-17,6.003387027772731e-17,6.003387027772731e-17,6.003387027772734e-17,6.003387027772726e-17,6.003387027772726e-17,6.003387027772734e-17,6.003387027772734e-17,6.003387027772734e-17,6.003387027772726e-17,6.003387027772721e-17,6.003387027772734e-17,6.003387027772734e-17,6.003387027772734e-17,6.003387027772734e-17,6.003387027772721e-17,6.003387027772734e-17,6.003387027772734e-17,6.003387027772734e-17,6.003387027772734e-17,6.003387027772721e-17,6.003387027772721e-17,6.003387027772719e-17,6.003387027772746e-17,6.003387027773354e-17,6.003387084050056e-17,6.000374219395846e-17,1.0548847874164293e-14,7.979304332351496e-08,0.0016181847060941187,0.07124712534270505,0.001556618879376656,8.33644014442276e-11,6.003387027772746e-17,8.583194499393906e-11,0.001583744759705119,0.0723478156623379,0.0016463489952954595,8.169222296406233e-08,1.0993329319469298e-14,6.000255856184432e-17,6.003387086735328e-17,6.003387027773522e-17,6.003387027772721e-17,6.003387027772719e-17,6.003387027772721e-17,6.003387027772721e-17,6.003387027772721e-17,6.003387027772773e-17,6.003387027772721e-17,6.003387027772721e-17,6.003387027772721e-17,6.003387027772719e-17,6.003387027772773e-17,6.003387027773522e-17,6.003387086735275e-17,6.000255856184432e-17,1.0993329319471118e-14,8.169222296406233e-08,0.0016463489952955337,0.07234781566233632,0.0015837447597048747,8.583194499392628e-11,6.003387027772773e-17,8.336440144425359e-11,0.0015566188793767984,0.07124712534270539,0.0016181847060941085,7.979304332351496e-08,1.0548847874162485e-14,6.000374219395846e-17,6.003387084050056e-17,6.003387027773327e-17,6.003387027772773e-17,6.003387027772719e-17,6.003387027772721e-17,6.003387027772721e-17,6.003387027772721e-17,6.003387027772773e-17,6.003387027772773e-17,6.003387027772668e-17,6.003387027772668e-17,6.003387027772773e-17,6.003387027772773e-17,6.003387027772773e-17,6.003387027772668e-17,6.003387027772668e-17,6.003387027772773e-17,6.003387027772773e-17,6.003387027772773e-17,6.003387027772668e-17,6.003387027772668e-17,6.003387027772773e-17,6.003387027772773e-17,6.003387027772668e-17,6.003387027772668e-17,6.003387027772773e-17,6.003387027772773e-17
6.739955850091078e-18,6.73995585009103e-18,4.046475755273709e-17,4.046475755273709e-17,4.046475755273709e-17,4.046475755273711e-17,4.0464757552737055e-17,4.0464757552737055e-17,4.046475755273711e-17,4.046475755273711e-17,4.046475755273711e-17,4.0464757552737055e-17,4.046475755273703e-17,4.046475755273711e-17,4.046475755273711e-17,4.046475755273711e-17,4.046475755273711e-17,4.046475755273703e-17,4.046475755273711e-17,4.046475755273711e-17,4.046475755273711e-17,4.046475755273711e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273703e-17,4.0464757552737215e-17,4.0464757552737215e-17,4.0464757552737e-17,4.0464757554198296e-17,4.046424882403502e-17,8.87073608710925e-14,3.8057547493683587e-05,0.07377686238012368,3.521674114109253e-05,3.652241137222633e-17,4.0464757552737215e-17,3.6408798077369124e-17,3.6454821486955134e-05,0.07607401465885291,3.939385071963533e-05,9.307267577851048e-14,4.046422726585622e-17,4.046475755425572e-17,4.0464757552737344e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273738e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273738e-17,4.046475755273703e-17,4.0464757552737e-17,4.046475755425572e-17,4.046422726585622e-17,9.307267577851048e-14,3.939385071963887e-05,0.0760740146588496,3.645482148694387e-05,3.640879807736956e-17,4.046475755273738e-17,3.652241137222512e-17,3.521674114109898e-05,0.07377686238012436,3.805754749368311e-05,8.87073608710925e-14,4.046424882403502e-17,4.0464757554198296e-17,4.0464757552737e-17,4.046475755273703e-17,4.046475755273738e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273703e-17,4.046475755273738e-17,4.046475755273738e-17,4.0464757552736666e-17,4.0464757552736666e-17,4.046475755273738e-17,4.046475755273738e-17,4.046475755273738e-17,4.0464757552736666e-17,4.0464757552736666e-17,4.046475755273738e-17,4.046475755273738e-17,4.046475755273738e-17,4.0464757552736666e-17,4.0464757552736666e-17,4.046475755273738e-17,4.046475755273738e-17,4.0464757552736666e-17,4.0464757552736666e-17,4.046475755273738e-17,4.046475755273738e-17
6.194011131862219e-18,6.1940111318621775e-18,3.7187062910216205e-17,3.7187062910216205e-17,3.7187062910216205e-17,3.718706291021622e-17,3.718706291021617e-17,3.718706291021617e-17,3.718706291021622e-17,3.718706291021622e-17,3.718706291021622e-17,3.718706291021617e-17,3.718706291021616e-17,3.718706291021622e-17,3.718706291021622e-17,3.718706291021622e-17,3.718706291021622e-17,3.718706291021616e-17,3.718706291021622e-17,3.718706291021622e-17,3.718706291021622e-17,3.718706291021622e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.7187062910216316e-17,3.7187062910216316e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291023883e-17,3.7183110826651936e-17,1.9343895980417906e-08,0.07270106585760056,1.656370969524543e-08,3.718706308594009e-17,3.7187062910216316e-17,3.7187063091004396e-17,1.7748866776163116e-08,0.07729885975968859,2.0726239564805047e-08,3.7182916260144104e-17,3.718706291023979e-17,3.718706291021616e-17,3.7187062910216477e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.7187062910216477e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.7187062910216477e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291023979e-17,3.718291626014427e-17,2.0726239564808772e-08,0.07729885975968186,1.774886677615215e-08,3.718706309100422e-17,3.7187062910216477e-17,3.718706308594009e-17,1.6563709695251497e-08,0.07270106585760189,1.934389598041742e-08,3.718311082665209e-17,3.718706291023883e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.7187062910216477e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.718706291021616e-17,3.7187062910216477e-17,3.7187062910216477e-17,3.718706291021583e-17,3.718706291021583e-17,3.7187062910216477e-17,3.7187062910216477e-17,3.7187062910216477e-17,3.718706291021583e-17,3.718706291021583e-17,3.7187062910216477e-17,3.7187062910216477e-17,3.7187062910216477e-17,3.718706291021583e-17,3.718706291021583e-17,3.7187062910216477e-17,3.7187062910216477e-17,3.718706291021583e-17,3.718706291021583e-17,3.7187062910216477e-17,3.7187062910216477e-17
6.177359649634697e-18,6.177359649634651e-18,3.70870922821707e-17,3.70870922821707e-17,3.70870922821707e-17,3.7087092282170737e-17,3.7087092282170694e-17,3.7087092282170694e-17,3.7087092282170737e-17,3.7087092282170737e-17,3.7087092282170737e-17,3.7087092282170694e-17,3.7087092282170657e-17,3.7087092282170737e-17,3.7087092282170737e-17,3.7087092282170737e-17,3.7087092282170737e-17,3.7087092282170657e-17,3.7087092282170737e-17,3.7087092282170737e-17,3.7087092282170737e-17,3.7087092282170737e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.708709228217081e-17,3.7087092282170805e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282346505e-17,4.161653884890874e-15,0.07040651949078669,2.955426814368953e-15,3.708709228217065e-17,3.708709228217081e-17,3.7087092282170805e-17,3.4444444817446148e-15,0.07959348050920204,4.838053837959227e-15,3.7087092282355145e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170983e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170983e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170983e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.708709228235531e-17,4.838053837961121e-15,0.07959348050918816,3.4444444817399183e-15,3.708709228217065e-17,3.7087092282170983e-17,3.708709228217065e-17,2.9554268143713605e-15,0.07040651949078927,4.161653884890647e-15,3.708709228234667e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170983e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170657e-17,3.7087092282170983e-17,3.7087092282170983e-17,3.708709228217032e-17,3.708709228217032e-17,3.7087092282170983e-17,3.7087092282170983e-17,3.7087092282170983e-17,3.708709228217032e-17,3.708709228217032e-17,3.7087092282170983e-17,3.7087092282170983e-17,3.7087092282170983e-17,3.708709228217032e-17,3.708709228217032e-17,3.7087092282170983e-17,3.7087092282170983e-17,3.708709228217032e-17,3.708709228217032e-17,3.7087092282170983e-17,3.7087092282170983e-17
6.160050312900338e-18,6.160050312900296e-18,3.6983172000850315e-17,3.6983172000850315e-17,3.6983172000850315e-17,3.6983172000850346e-17,3.69831720008503e-17,3.69831720008503e-17,3.6983172000850346e-17,3.6983172000850346e-17,3.6983172000850346e-17,3.69831720008503e-17,3.698317200085026e-17,3.6983172000850346e-17,3.6983172000850346e-17,3.6983172000850346e-17,3.6983172000850346e-17,3.698317200085026e-17,3.6983172000850346e-17,3.6983172000850346e-17,3.6983172000850346e-17,3.6983172000850346e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.6983172000850426e-17,3.6983172000850414e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.6983172000850426e-17,3.6982989162946254e-17,0.06584737140834993,3.698304263373412e-17,3.698317200085026e-17,3.6983172000850426e-17,3.6983172000850414e-17,3.6983020956086275e-17,0.08415262859166063,3.6982959178858527e-17,3.6983172000850426e-17,3.698317200085026e-17,3.698317200085026e-17,3.6983172000850587e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.6983172000850587e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.6983172000850587e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.6983172000850587e-17,3.6982959178858527e-17,0.08415262859163132,3.6983020956086275e-17,3.698317200085026e-17,3.6983172000850587e-17,3.698317200085026e-17,3.698304263373412e-17,0.06584737140835475,3.69829891629461e-17,3.6983172000850587e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.6983172000850587e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.698317200085026e-17,3.6983172000850587e-17,3.6983172000850587e-17,3.6983172000849933e-17,3.6983172000849933e-17,3.6983172000850587e-17,3.6983172000850587e-17,3.6983172000850587e-17,3.6983172000849933e-17,3.6983172000849933e-17,3.6983172000850587e-17,3.6983172000850587e-17,3.6983172000850587e-17,3.6983172000849933e-17,3.6983172000849933e-17,3.6983172000850587e-17,3.6983172000850587e-17,3.6983172000849933e-17,3.6983172000849933e-17,3.6983172000850587e-17,3.6983172000850587e-17
6.092425641343759e-18,6.092425641343716e-18,3.657717290733172e-17,3.657717290733172e-17,3.657717290733172e-17,3.657717290733175e-17,3.6577172907331717e-17,3.6577172907331717e-17,3.657717290733175e-17,3.657717290733175e-17,3.657717290733175e-17,3.6577172907331717e-17,3.657717290733168e-17,3.657717290733175e-17,3.657717290733175e-17,3.657717290733175e-17,3.657717290733175e-17,3.657717290733168e-17,3.657717290733175e-17,3.657717290733175e-17,3.657717290733175e-17,3.657717290733175e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.6577172907331834e-17,3.6577172907331834e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.6577172907331834e-17,3.6577172907339846e-17,0.056963354124481405,3.657717290733735e-17,3.657717290733168e-17,3.6577172907331834e-17,3.6577172907331834e-17,3.65771729073383e-17,0.09303664587554515,3.657717290734101e-17,3.6577172907331834e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733201e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733201e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733201e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733201e-17,3.657717290734101e-17,0.09303664587548034,3.65771729073383e-17,3.657717290733168e-17,3.657717290733201e-17,3.657717290733168e-17,3.657717290733735e-17,0.05696335412448975,3.657717290733968e-17,3.657717290733201e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733201e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733168e-17,3.657717290733201e-17,3.657717290733201e-17,3.657717290733135e-17,3.657717290733135e-17,3.657717290733201e-17,3.657717290733201e-17,3.657717290733201e-17,3.657717290733135e-17,3.657717290733135e-17,3.657717290733201e-17,3.657717290733201e-17,3.657717290733201e-17,3.657717290733135e-17,3.657717290733135e-17,3.657717290733201e-17,3.657717290733201e-17,3.657717290733135e-17,3.657717290733135e-17,3.657717290733201e-17,3.657717290733201e-17
