Time Step,Body 1 Position,Body 2 Position,Body 1 Velocity,Body 2 Velocity,Kinetic Energy 1,Kinetic Energy 2,Kinetic Energy 3,Potential Energy,Total Energy
0.0,[1. 0.],[-0.5        0.8660254],[0. 0.],[0. 0.],0.0,0.0,0.0,-68.37862509316868,-68.37862509316868
0.1,[1. 0.],[-0.5        0.8660254],[-2.2792875  0.       ],[ 1.13964375 -1.97392088],2.597575760906732,2.597575760906732,2.597575760906732,-68.37862509316868,-60.585897810448486
0.2,[0.77207125 0.        ],[-0.38603562  0.66863332],[-4.55857501  0.        ],[ 2.2792875  -3.94784176],10.390303043626927,10.390303043626927,10.390303043626927,-88.56517467872774,-57.39426554784696
0.30000000000000004,[0.31621375 0.        ],[-0.15810687  0.27384914],[-8.38227974  0.        ],[ 4.19113987 -7.25926719],35.13130678757559,35.13130678757559,35.13130678757559,-216.2417835866982,-110.84786322397144
0.4,[-0.52201422  0.        ],[ 0.26100711 -0.45207758],[-31.17717551   0.        ],[ 15.58858776 -27.00022601],486.0081364518895,486.0081364518895,486.0081364518895,-130.98996517285605,1327.0344441828124
0.5,[-3.63973178  0.        ],[ 1.81986589 -3.15210018],[-22.81278242   0.        ],[ 11.40639121 -19.75644911],260.2115209270894,260.2115209270895,260.2115209270895,-18.786720919620617,761.8478418616478
0.6000000000000001,[-5.92101002  0.        ],[ 2.96050501 -5.12774509],[-22.64073018   0.        ],[ 11.32036509 -19.60744749],256.3013314378376,256.3013314378376,256.3013314378376,-11.548473129656141,757.3555211838566
0.7000000000000001,[-8.18508304  0.        ],[ 4.09254152 -7.08848984],[-22.57571608   0.        ],[ 11.28785804 -19.55114363],254.83147828490084,254.83147828490092,254.83147828490092,-8.354053929123445,756.1403809255792
0.8,[-10.44265464   0.        ],[ 5.22132732 -9.0436042 ],[-22.54169462   0.        ],[ 11.27084731 -19.52168019],254.06399822285425,254.0639982228543,254.0639982228543,-6.5480117294583815,755.6439829391045
0.9,[-12.69682411   0.        ],[  6.34841205 -10.99577222],[-22.52079313   0.        ],[ 11.26039657 -19.50357896],253.59306161966995,253.59306161967004,253.59306161967004,-5.3854904599020585,755.393694399108
1.0,[-14.94890342   0.        ],[  7.47445171 -12.94613012],[-22.50665445   0.        ],[ 11.25332722 -19.49133451],253.27474725570542,253.2747472557055,253.2747472557055,-4.5741565904118024,755.2500851767046
1.1,[-17.19956886   0.        ],[  8.59978443 -14.89526357],[-22.49645491   0.        ],[ 11.24822746 -19.48250145],253.0452418269894,253.0452418269895,253.0452418269895,-3.9756011115320833,755.1601243694363
1.2000000000000002,[-19.44921436   0.        ],[  9.72460718 -16.84351372],[-22.48875007   0.        ],[ 11.24437503 -19.47582886],252.87193977861185,252.87193977861193,252.87193977861193,-3.5157525566012504,755.1000667792345
1.3,[-21.69808936   0.        ],[ 10.84904468 -18.7910966 ],[-22.48272454   0.        ],[ 11.24136227 -19.4706106 ],252.7364513779531,252.73645137795316,252.73645137795316,-3.1513661849590084,755.0579879489004
